City,Country,Date,Lat,Lng,Cloudiness,Humidity,Max Temp,Wind Speed
Punta Arenas,CL,1612723302,-53.15,-70.9167,0,23,69.8,12.66
Pozo Colorado,PY,1612724005,-23.4923,-58.7972,0,22,93.76,4.16
George Town,MY,1612723872,5.4112,100.3354,20,83,80.6,3.49
Adrar,MR,1612724005,20.5022,-10.0711,0,29,63.12,8.61
Atuona,PF,1612724005,-9.8,-139.0333,23,75,79.41,21.63
Iskateley,RU,1612723454,67.6803,53.1512,100,87,-17.37,16.24
Talnakh,RU,1612724005,69.4865,88.3972,7,73,-21.93,3.4
Kaeo,NZ,1612723460,-35.1,173.7833,46,92,57.99,1.01
Hong Kong,HK,1612723407,22.2855,114.1577,0,85,68.0,11.07
Mataura,NZ,1612724006,-46.1927,168.8643,98,80,53.46,1.95
Cape Town,ZA,1612723999,-33.9258,18.4232,0,60,69.01,25.32
Inhambane,MZ,1612724006,-23.865,35.3833,20,74,82.4,4.61
Rikitea,PF,1612723926,-23.1203,-134.9692,96,71,77.63,11.5
Port Alfred,ZA,1612724006,-33.5906,26.891,99,95,66.99,9.22
Kuminskiy,RU,1612724006,58.6667,66.5667,100,92,1.29,12.77
Yellowknife,CA,1612723887,62.456,-114.3525,1,66,-43.6,5.75
Berlevåg,NO,1612723914,70.8578,29.0864,40,86,24.8,24.16
Westport,US,1612723893,41.1415,-73.3579,90,86,30.99,12.66
Busselton,AU,1612723829,-33.65,115.3333,93,99,64.0,1.01
Philadelphia,US,1612723763,39.9523,-75.1638,90,93,34.0,6.91
Jales,BR,1612724007,-20.2689,-50.5458,0,37,86.07,6.55
Saint-Philippe,RE,1612723973,-21.3585,55.7679,0,78,78.8,5.75
Ushuaia,AR,1612724007,-54.8,-68.3,40,47,59.0,12.66
Souillac,MU,1612723607,-20.5167,57.5167,75,74,80.6,6.91
Bambanglipuro,ID,1612723738,-7.95,110.2833,100,90,76.12,4.81
Bakchar,RU,1612724008,57.0186,82.0711,100,94,11.7,13.29
