City,Country,Date,Lat,Lng,Cloudiness,Humidity,Max Temp,Wind Speed
Bredasdorp,ZA,1612488515,-34.5322,20.0403,4,88,62.6,3.44
Atbasar,KZ,1612489011,51.8,68.3333,100,98,29.16,8.59
Vaini,TO,1612488496,-21.2,-175.2,90,89,82.4,8.05
Port Hedland,AU,1612488533,-20.3167,118.5667,70,72,83.8,9.66
Hobart,AU,1612488481,-42.8794,147.3294,75,73,81.0,19.57
Bluff,NZ,1612488526,-46.6,168.3333,100,67,58.41,9.19
Ponta do Sol,PT,1612488437,32.6667,-17.1,84,62,51.01,5.01
Port Elizabeth,ZA,1612488533,-33.918,25.5701,0,88,62.6,5.39
Cap Malheureux,MU,1612489012,-19.9842,57.6142,3,76,78.01,5.01
Lebu,CL,1612489012,-37.6167,-73.65,0,79,60.66,3.49
Castro,BR,1612489012,-24.7911,-50.0119,4,96,64.85,5.21
Bilibino,RU,1612489012,68.0546,166.4372,100,79,-12.41,9.31
Burnie,AU,1612489012,-41.0667,145.9167,100,98,68.0,5.01
Najrān,SA,1612489013,17.4924,44.1277,0,35,55.4,3.44
Tongzi,CN,1612489013,28.7829,105.0877,17,70,54.86,1.5
Severo-Kuril'sk,RU,1612488960,50.6789,156.125,71,85,12.87,10.65
Barrow,US,1612488716,71.2906,-156.7887,40,68,-29.2,9.22
Albany,US,1612488513,42.6001,-73.9662,20,69,28.99,3.15
Mataura,NZ,1612488632,-46.1927,168.8643,99,41,74.16,2.13
West Wendover,US,1612489013,40.7391,-114.0733,1,33,39.2,6.91
San Patricio,US,1612489013,28.017,-97.5169,1,73,73.4,10.36
Puerto Ayora,EC,1612488839,-0.7393,-90.3518,34,93,78.01,1.99
Skibbereen,IE,1612489014,51.55,-9.2667,75,93,41.0,11.5
Ixtapa,MX,1612489014,20.7,-105.2,1,88,71.6,8.05
Berdigestyakh,RU,1612489014,62.0989,126.6992,5,83,-30.32,4.0
Busselton,AU,1612488446,-33.65,115.3333,4,42,64.99,5.01
Bathsheba,BB,1612488527,13.2167,-59.5167,20,65,78.8,18.41
Kiryat Gat,IL,1612489014,31.61,34.7642,100,100,55.99,10.33
Faya,SA,1612488492,18.3851,42.4509,0,67,59.0,8.05
Pitalito,CO,1612488736,1.8497,-76.0479,65,86,64.04,2.08
Mar del Plata,AR,1612488470,-38.0023,-57.5575,20,72,64.99,9.22
Rikitea,PF,1612489015,-23.1203,-134.9692,100,68,78.67,11.36
Conceição do Mato Dentro,BR,1612489015,-19.0372,-43.425,83,90,67.78,0.98
Saskylakh,RU,1612488523,71.9167,114.0833,54,75,-39.39,2.62
Rome,US,1612488446,43.2128,-75.4557,1,79,25.0,2.57
Nome,US,1612488464,64.5011,-165.4064,90,72,9.0,16.11
Thompson,CA,1612488517,55.7435,-97.8558,90,77,-9.4,8.05
Teya,RU,1612489016,60.3778,92.6267,100,90,-0.15,5.55
Zyryanka,RU,1612489016,65.75,150.85,100,89,-10.28,22.59
Torbay,CA,1612488526,47.6666,-52.7314,90,100,41.0,13.8
Sibu,MY,1612488990,2.3,111.8167,40,89,78.8,5.75
Cherskiy,RU,1612488527,68.75,161.3,95,75,-9.0,10.63
Kuzovatovo,RU,1612489016,53.5468,47.6866,100,99,35.62,10.87
Port Alfred,ZA,1612488444,-33.5906,26.891,35,90,66.0,8.66
Arraial do Cabo,BR,1612488494,-22.9661,-42.0278,0,83,77.4,26.82
Ushuaia,AR,1612488337,-54.8,-68.3,20,81,46.4,34.52
Butaritari,KI,1612488520,3.0707,172.7902,100,85,79.86,13.44
Hilo,US,1612488358,19.7297,-155.09,90,68,73.4,13.8
Troitsko-Pechorsk,RU,1612489017,62.7084,56.1964,100,97,17.44,7.07
Codrington,AU,1612489017,-38.2667,141.9667,52,58,63.32,10.42
Nikolskoye,RU,1612488447,59.7035,30.7861,75,85,8.01,11.18
Ternate,ID,1612489018,0.8,127.4,100,67,84.24,1.63
Bambous Virieux,MU,1612488535,-20.3428,57.7575,20,78,79.0,5.75
Mīnāb,IR,1612489018,27.1467,57.0801,0,58,57.2,6.91
Kapaa,US,1612488436,22.0752,-159.319,90,64,68.0,9.22
Atuona,PF,1612488513,-9.8,-139.0333,4,71,78.66,10.16
Suez,EG,1612489018,29.9737,32.5263,13,82,58.24,15.55
Avarua,CK,1612488288,-21.2078,-159.775,75,70,84.2,3.44
Bam,IR,1612489018,29.106,58.357,0,46,45.52,1.34
Hambantota,LK,1612488501,6.1241,81.1185,40,100,69.8,3.44
Constitución,CL,1612488356,-35.3333,-72.4167,82,91,60.17,2.77
Aripuanã,BR,1612489019,-9.1667,-60.6333,90,94,75.42,0.22
Coyhaique,CL,1612488539,-45.5752,-72.0662,0,46,69.8,5.75
Bengkulu,ID,1612488513,-3.8004,102.2655,18,79,78.22,4.12
Poso,ID,1612489019,-1.3959,120.7524,92,66,88.0,2.1
Trujillo,PE,1612488762,-8.116,-79.03,97,72,71.64,4.54
Qaanaaq,GL,1612488518,77.484,-69.3632,56,61,-20.6,8.16
Saint Paul Harbor,US,1612488237,57.79,-152.4072,1,80,30.2,4.61
Bend,US,1612488986,44.0582,-121.3153,1,61,44.6,4.61
Gimli,CA,1612489020,50.6336,-96.9907,100,78,1.4,11.5
Gamba,GA,1612488532,-2.65,10.0,100,87,78.42,2.3
Khatanga,RU,1612488530,71.9667,102.5,0,78,-30.71,9.37
Popovo,BG,1612489020,43.35,26.2333,0,100,46.0,2.3
Punta Arenas,CL,1612488520,-53.15,-70.9167,20,62,50.0,19.57
Srednekolymsk,RU,1612488446,67.45,153.6833,99,83,-7.83,17.02
Hermanus,ZA,1612489020,-34.4187,19.2345,26,90,64.0,8.21
Saint George,US,1612488535,37.1041,-113.5841,1,27,51.01,8.05
Khabary,RU,1612489021,53.6259,79.5345,98,90,9.41,5.26
Tsaratanana,MG,1612489021,-16.7833,47.65,98,85,72.64,1.54
Jurm,AF,1612489021,36.8648,70.8342,0,56,22.71,6.49
Cape Town,ZA,1612488319,-33.9258,18.4232,0,82,66.99,10.36
Glace Bay,CA,1612489021,46.1969,-59.957,90,93,34.0,9.22
College,US,1612488534,64.8569,-147.8028,20,69,-14.8,1.95
Souillac,MU,1612488526,-20.5167,57.5167,20,78,77.0,5.75
Longyearbyen,SJ,1612488525,78.2186,15.6401,75,67,15.8,12.66
